index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
0,\wallet\src\de\schildbach\wallet\AddressBookProvider.Helper.java,Helper,67,3,3,0,0,True,False,1,True,False,1,6,3,3,True,False,True,True,False,private,2,1,0,False,Service Provider
1,\wallet\src\de\schildbach\wallet\AddressBookProvider.java,AddressBookProvider,148,9,8,0,1,True,False,3,True,False,10,19,7,31,False,False,False,True,False,public,7,1,0,False,Service Provider
2,\wallet\src\de\schildbach\wallet\DetermineFirstSeenThread.java,DetermineFirstSeenThread,78,2,3,0,0,False,False,4,False,False,1,2,12,5,False,False,False,True,False,public,1,0,2,False,Coordinator
3,\wallet\src\de\schildbach\wallet\Constants.java,Constants,105,76,0,0,0,False,False,1,False,False,0,0,6,2,False,False,False,True,False,public,0,0,0,False,Information Holder
4,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.java,ExchangeRatesProvider,135,4,7,0,2,False,False,3,True,False,7,15,18,12,False,False,False,True,False,public,6,1,0,False,Service Provider
5,\wallet\src\de\schildbach\wallet\WalletBalanceWidgetProvider.java,WalletBalanceWidgetProvider,53,0,1,0,0,False,False,4,True,False,0,3,12,3,False,False,False,True,False,public,1,0,0,False,Service Provider
6,\wallet\src\de\schildbach\wallet\util\Base43.java,Base43,106,2,4,0,0,False,False,1,False,False,4,4,3,7,False,False,False,True,False,public,4,0,0,False,Service Provider
7,\wallet\src\de\schildbach\wallet\WalletApplication.java,WalletApplication,407,4,15,0,1,False,False,2,False,False,6,4,35,54,False,False,False,True,False,public,7,8,0,False,Interfacer
8,\wallet\src\de\schildbach\wallet\util\BitmapFragment.java,BitmapFragment,81,3,4,0,0,False,False,2,False,False,1,5,12,3,False,False,False,True,False,public,3,1,0,False,Coordinator
9,\wallet\src\de\schildbach\wallet\util\CircularProgressView.java,CircularProgressView,122,7,8,3,1,False,False,3,False,False,3,12,10,4,False,False,False,True,False,public,4,1,3,False,Interfacer
10,\wallet\src\de\schildbach\wallet\util\IOUtils.java,IOUtils,37,0,1,0,0,False,False,3,False,False,0,2,2,0,False,False,False,True,False,public,1,0,0,False,Service Provider
11,\wallet\src\de\schildbach\wallet\util\Iso8601Format.java,Iso8601Format,63,0,8,0,0,False,False,2,False,False,0,4,4,0,False,False,False,True,False,public,8,0,0,False,Service Provider
12,\wallet\src\de\schildbach\wallet\util\StrictModeWrapper.java,StrictModeWrapper,28,0,1,0,0,False,False,3,True,False,0,0,1,1,False,False,False,True,False,public,1,0,0,False,Service Provider
13,\wallet\src\de\schildbach\wallet\util\NfcTools.java,NfcTools,105,3,9,0,0,False,False,2,False,False,5,19,8,6,False,False,False,True,False,public,4,5,0,False,Coordinator
14,\wallet\src\de\schildbach\wallet\util\ErrorReporter.java,ErrorReporter,275,10,12,0,3,False,False,2,True,False,3,14,27,50,False,False,False,True,False,public,5,7,0,False,Service Provider
15,\wallet\src\de\schildbach\wallet\util\ViewPagerTabs.java,ViewPagerTabs,164,5,9,0,1,False,False,3,False,False,4,10,14,9,False,False,False,True,False,public,6,0,3,False,Interfacer
16,\wallet\src\de\schildbach\wallet\util\WalletUtils.java,WalletUtils,117,1,7,0,1,False,False,2,False,False,2,20,17,10,False,False,False,True,False,public,7,0,0,False,Coordinator
17,\wallet\src\de\schildbach\wallet\ui\AboutActivity.java,AboutActivity,107,10,2,0,0,False,False,2,False,False,1,3,9,4,False,False,False,True,False,public,1,0,1,False,Coordinator
18,\wallet\src\de\schildbach\wallet\ui\AddressBookActivity.PagerAdapter.java,PagerAdapter,43,0,2,0,2,False,False,2,True,False,1,1,3,0,False,False,True,True,False,private,2,0,0,False,Information Holder
19,\wallet\src\de\schildbach\wallet\ui\AbstractWalletActivity.java,AbstractWalletActivity,147,1,13,0,1,False,False,3,False,False,2,19,16,6,False,False,False,True,False,public,0,0,13,True,Structurer
20,\wallet\src\de\schildbach\wallet\ui\AmountCalculatorFragment.Listener.java,Listener,25,0,0,0,0,False,False,1,True,False,0,0,1,0,True,True,True,False,False,public,0,0,0,False,Service Provider
21,\wallet\src\de\schildbach\wallet\ui\AddressBookActivity.java,AddressBookActivity,159,6,6,0,0,False,False,3,False,False,5,7,17,6,False,False,False,True,False,public,3,1,1,False,Interfacer
