index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
0,\wallet\src\de\schildbach\wallet\AddressBookProvider.Helper.java,Helper,67,3,3,0,0,True,False,1,True,False,1,6,3,3,True,False,True,True,False,private,2,1,0,False,Service Provider
1,\wallet\src\de\schildbach\wallet\AddressBookProvider.java,AddressBookProvider,151,8,9,0,1,True,False,3,True,False,10,20,7,32,False,False,False,True,False,public,8,1,0,False,Service Provider
2,\wallet\src\de\schildbach\wallet\Constants.java,Constants,116,86,0,0,0,False,False,1,False,False,0,0,7,2,False,False,False,True,False,public,0,0,0,False,Information Holder
3,\wallet\src\de\schildbach\wallet\DetermineFirstSeenThread.java,DetermineFirstSeenThread,105,3,4,0,0,False,False,4,False,False,2,3,14,8,False,False,False,True,False,public,1,2,1,True,Interfacer
4,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.ExchangeRate.java,ExchangeRate,39,3,1,0,0,False,False,2,False,False,0,0,2,1,True,False,True,True,False,public,1,0,0,False,Information Holder
5,\wallet\src\de\schildbach\wallet\WalletApplication.WalletAutosaveEventListener.java,WalletAutosaveEventListener,39,0,3,0,0,False,False,4,True,False,1,3,3,0,True,False,True,True,False,private,3,0,0,False,Service Provider
6,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.java,ExchangeRatesProvider,215,7,10,0,4,False,False,3,True,False,12,17,21,25,False,False,False,True,False,public,8,2,0,False,Service Provider
7,\wallet\src\de\schildbach\wallet\WalletBalanceWidgetProvider.java,WalletBalanceWidgetProvider,69,0,2,0,0,False,False,4,True,False,0,7,18,3,False,False,False,True,False,public,2,0,0,False,Service Provider
8,\wallet\src\de\schildbach\wallet\util\BitmapFragment.java,BitmapFragment,74,3,4,0,0,False,False,2,False,False,0,5,10,2,False,False,False,True,False,public,3,1,0,False,Coordinator
9,\wallet\src\de\schildbach\wallet\util\Base43.java,Base43,106,2,4,0,0,False,False,1,False,False,4,4,3,7,False,False,False,True,False,public,4,0,0,False,Service Provider
