index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
0,\wallet\src\de\schildbach\wallet\AddressBookProvider.Helper.java,Helper,67,3,3,0,0,True,False,1,True,False,1,6,3,3,True,False,True,True,False,private,2,1,0,False,Service Provider
2,\wallet\src\de\schildbach\wallet\AddressBookProvider.java,AddressBookProvider,151,8,9,0,1,True,False,3,True,False,10,20,7,32,False,False,False,True,False,public,8,1,0,False,Service Provider
3,\wallet\src\de\schildbach\wallet\DetermineFirstSeenThread.java,DetermineFirstSeenThread,105,3,4,0,0,False,False,4,False,False,2,3,14,8,False,False,False,True,False,public,1,2,1,True,Interfacer
4,\wallet\src\de\schildbach\wallet\Constants.java,Constants,110,78,0,0,0,False,False,1,False,False,0,0,9,2,False,False,False,True,False,public,0,0,0,False,Information Holder
5,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.ExchangeRate.java,ExchangeRate,39,3,1,0,0,False,False,2,False,False,0,0,2,1,True,False,True,True,False,public,1,0,0,False,Information Holder
6,\wallet\src\de\schildbach\wallet\WalletApplication.WalletAutosaveEventListener.java,WalletAutosaveEventListener,41,0,3,0,0,False,False,4,True,False,1,3,4,0,True,False,True,True,False,private,3,0,0,False,Service Provider
7,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.java,ExchangeRatesProvider,243,7,11,0,4,False,False,3,True,False,17,17,23,28,False,False,False,True,False,public,8,3,0,False,Service Provider
8,\wallet\src\de\schildbach\wallet\WalletBalanceWidgetProvider.java,WalletBalanceWidgetProvider,70,0,2,0,0,False,False,4,True,False,0,7,19,3,False,False,False,True,False,public,2,0,0,False,Service Provider
9,\wallet\src\de\schildbach\wallet\util\BitmapFragment.java,BitmapFragment,74,3,4,0,0,False,False,2,False,False,0,5,10,2,False,False,False,True,False,public,3,1,0,False,Coordinator
10,\wallet\src\de\schildbach\wallet\util\Base43.java,Base43,106,2,4,0,0,False,False,1,False,False,4,4,3,7,False,False,False,True,False,public,4,0,0,False,Service Provider
11,\wallet\src\de\schildbach\wallet\WalletApplication.java,WalletApplication,327,8,18,0,1,False,False,2,False,False,13,4,34,49,False,False,False,True,False,public,11,7,0,False,Interfacer
12,\wallet\src\de\schildbach\wallet\util\CrashReporter.ExceptionHandler.java,ExceptionHandler,56,1,3,0,0,False,False,2,True,False,0,3,3,3,True,False,True,True,False,private,1,2,0,False,Service Provider
13,\wallet\src\de\schildbach\wallet\util\CircularProgressView.java,CircularProgressView,141,9,10,5,1,False,False,3,False,False,3,15,10,4,False,False,False,True,False,public,6,1,3,False,Interfacer
14,\wallet\src\de\schildbach\wallet\util\CrashReporter.java,CrashReporter,263,7,13,0,0,False,False,2,True,False,8,17,21,43,False,False,False,True,False,public,10,3,0,False,Service Provider
