index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
4,\wallet\src\de\schildbach\wallet\AddressBookProvider.Helper.java,Helper,67,3,3,0,0,True,False,1,True,False,1,6,3,3,True,False,True,True,False,private,2,1,0,False,Service Provider
5,\wallet\src\de\schildbach\wallet\AddressBookProvider.java,AddressBookProvider,152,8,9,0,1,True,False,3,True,False,10,20,8,32,False,False,False,True,False,public,8,1,0,False,Service Provider
6,\wallet\src\de\schildbach\wallet\Constants.Files.java,Files,33,8,0,0,0,False,False,1,False,False,0,0,2,0,True,False,True,True,False,public,0,0,0,False,Information Holder
7,\wallet\src\de\schildbach\wallet\Configuration.java,Configuration,226,21,30,5,15,False,False,1,False,False,6,12,9,16,False,False,False,True,False,public,30,0,0,False,Information Holder
8,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.ExchangeRate.java,ExchangeRate,40,3,1,0,0,False,False,2,False,False,0,0,3,1,True,False,True,True,False,public,1,0,0,False,Information Holder
9,\wallet\src\de\schildbach\wallet\Constants.java,Constants,94,61,0,0,0,False,False,1,False,False,0,0,7,5,False,False,False,True,False,public,0,0,0,False,Information Holder
10,\wallet\src\de\schildbach\wallet\WalletApplication.WalletAutosaveEventListener.java,WalletAutosaveEventListener,37,0,2,0,0,False,False,4,True,False,1,2,3,0,True,False,True,True,False,private,2,0,0,False,Service Provider
11,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.java,ExchangeRatesProvider,288,16,11,0,2,False,False,3,True,False,19,22,31,25,False,False,False,True,False,public,8,3,0,False,Service Provider
12,\wallet\src\de\schildbach\wallet\WalletBalanceWidgetProvider.java,WalletBalanceWidgetProvider,73,0,2,0,0,False,False,4,True,False,0,7,20,5,False,False,False,True,False,public,2,0,0,False,Service Provider
13,\wallet\src\de\schildbach\wallet\WalletApplication.java,WalletApplication,473,9,27,0,2,False,False,2,False,False,19,8,46,58,False,False,False,True,False,public,19,8,0,False,Interfacer
14,\wallet\src\de\schildbach\wallet\util\BitmapFragment.java,BitmapFragment,76,3,4,0,0,False,False,2,False,False,0,5,11,2,False,False,False,True,False,public,3,1,0,False,Coordinator
15,\wallet\src\de\schildbach\wallet\util\Base43.java,Base43,136,2,5,0,0,False,False,1,False,False,6,9,2,5,False,False,False,True,False,public,2,3,0,False,Service Provider
16,\wallet\src\de\schildbach\wallet\util\Bluetooth.java,Bluetooth,65,4,5,0,2,False,False,1,False,False,4,5,2,3,False,False,False,True,False,public,5,0,0,False,Information Holder
17,\wallet\src\de\schildbach\wallet\util\CrashReporter.ExceptionHandler.java,ExceptionHandler,53,1,2,0,0,False,False,2,True,False,0,3,6,1,True,False,True,True,False,private,1,1,0,False,Service Provider
18,\wallet\src\de\schildbach\wallet\util\CircularProgressView.java,CircularProgressView,141,9,10,5,1,False,False,3,False,False,3,15,10,4,False,False,False,True,False,public,6,1,3,False,Interfacer
19,\wallet\src\de\schildbach\wallet\util\CrashReporter.java,CrashReporter,258,6,13,0,0,False,False,2,True,False,6,19,28,36,False,False,False,True,False,public,9,4,0,False,Service Provider
20,\wallet\src\de\schildbach\wallet\util\Crypto.java,Crypto,297,12,8,0,1,False,False,1,False,False,4,16,21,6,False,False,False,True,False,public,4,4,0,False,Service Provider
21,\wallet\src\de\schildbach\wallet\util\HttpGetThread.java,HttpGetThread,99,4,1,0,0,False,False,3,False,False,4,0,16,13,False,False,False,True,False,public,1,0,0,True,Interfacer
22,\wallet\src\de\schildbach\wallet\util\GenericUtils.java,GenericUtils,158,6,7,1,0,False,False,2,False,False,9,16,10,8,False,False,False,True,False,public,7,0,0,False,Interfacer
23,\wallet\src\de\schildbach\wallet\util\LinuxSecureRandom.LinuxSecureRandomProvider.java,LinuxSecureRandomProvider,31,0,0,0,0,False,False,4,True,False,0,0,1,1,True,False,True,True,False,private,0,0,0,False,Service Provider
24,\wallet\src\de\schildbach\wallet\util\Iso8601Format.java,Iso8601Format,69,1,8,0,0,False,False,2,False,False,0,4,7,0,False,False,False,True,False,public,8,0,0,False,Service Provider
25,\wallet\src\de\schildbach\wallet\util\Io.java,Io,77,1,4,0,0,False,False,1,False,False,1,9,9,1,False,False,False,True,False,public,4,0,0,False,Service Provider
26,\wallet\src\de\schildbach\wallet\util\LinuxSecureRandom.java,LinuxSecureRandom,86,2,3,0,0,False,False,3,False,False,1,3,7,2,False,False,False,True,False,public,0,0,3,False,Service Provider
27,\wallet\src\de\schildbach\wallet\util\Nfc.java,Nfc,98,0,8,0,0,False,False,1,False,False,7,16,10,6,False,False,False,True,False,public,4,4,0,False,Service Provider
28,\wallet\src\de\schildbach\wallet\util\Qr.java,Qr,116,2,5,0,0,False,False,1,False,False,1,6,18,8,False,False,False,True,False,public,5,0,0,False,Service Provider
29,\wallet\src\de\schildbach\wallet\util\PaymentProtocol.java,PaymentProtocol,173,3,7,0,0,False,False,2,False,False,13,15,19,40,False,False,False,True,False,public,6,1,0,False,Interfacer
30,\wallet\src\de\schildbach\wallet\util\ThrottlingWalletChangeListener.java,ThrottlingWalletChangeListener,123,9,8,0,0,False,False,4,True,False,6,16,10,3,False,False,False,True,False,public,8,0,0,True,Service Provider
31,\wallet\src\de\schildbach\wallet\util\ViewPagerTabs.java,ViewPagerTabs,168,6,9,0,1,False,False,3,False,False,4,10,14,10,False,False,False,True,False,public,6,0,3,False,Interfacer
32,\wallet\src\de\schildbach\wallet\util\WholeStringBuilder.java,WholeStringBuilder,35,0,1,0,0,False,False,3,True,False,0,1,3,1,False,False,False,True,False,public,1,0,0,False,Service Provider
33,\wallet\src\de\schildbach\wallet\ui\AbstractBindServiceActivity.java,AbstractBindServiceActivity,62,2,3,0,1,False,False,4,False,False,0,0,8,3,False,False,False,True,False,public,0,0,3,True,Information Holder
34,\wallet\src\de\schildbach\wallet\ui\AbstractWalletActivity.java,AbstractWalletActivity,83,2,8,0,1,False,False,3,False,False,0,17,10,2,False,False,False,True,False,public,0,0,8,True,Coordinator
35,\wallet\src\de\schildbach\wallet\util\WalletUtils.java,WalletUtils,337,5,16,0,2,False,False,2,False,False,17,31,43,36,False,False,False,True,False,public,16,0,0,False,Service Provider
36,\wallet\src\de\schildbach\wallet\ui\AboutActivity.java,AboutActivity,133,11,3,0,0,False,False,2,False,False,3,4,12,5,False,False,False,True,False,public,2,0,1,False,Interfacer
