index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
4,\wallet\src\de\schildbach\wallet\AddressBookProvider.Helper.java,Helper,67,3,3,0,0,True,False,1,True,False,1,6,3,3,True,False,True,True,False,private,2,1,0,False,Service Provider
6,\wallet\src\de\schildbach\wallet\AddressBookProvider.java,AddressBookProvider,151,8,9,0,1,True,False,3,True,False,10,20,7,32,False,False,False,True,False,public,8,1,0,False,Service Provider
7,\wallet\src\de\schildbach\wallet\Constants.Files.java,Files,45,10,0,0,0,False,False,1,False,False,0,0,3,2,True,False,True,True,False,public,0,0,0,False,Information Holder
8,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.ExchangeRate.java,ExchangeRate,41,2,2,0,1,False,False,2,False,False,0,0,1,1,True,False,True,True,False,public,2,0,0,False,Information Holder
9,\wallet\src\de\schildbach\wallet\Constants.java,Constants,88,42,0,0,0,False,False,1,False,False,0,0,8,5,False,False,False,True,False,public,0,0,0,False,Information Holder
10,\wallet\src\de\schildbach\wallet\Configuration.java,Configuration,250,26,31,3,18,False,False,1,False,False,7,11,14,16,False,False,False,True,False,public,30,1,0,False,Information Holder
11,\wallet\src\de\schildbach\wallet\WalletApplication.WalletAutosaveEventListener.java,WalletAutosaveEventListener,37,0,2,0,0,False,False,4,True,False,1,2,3,0,True,False,True,True,False,private,2,0,0,False,Service Provider
12,\wallet\src\de\schildbach\wallet\FileAttachmentProvider.java,FileAttachmentProvider,101,0,8,0,1,False,False,3,True,False,5,19,10,10,False,False,False,True,False,public,8,0,0,False,Service Provider
13,\wallet\src\de\schildbach\wallet\ExchangeRatesProvider.java,ExchangeRatesProvider,306,18,11,0,2,False,False,3,True,False,20,23,34,32,False,False,False,True,False,public,8,3,0,False,Service Provider
14,\wallet\src\de\schildbach\wallet\util\BitmapFragment.java,BitmapFragment,123,5,5,0,0,False,False,2,False,False,4,11,16,3,False,False,False,True,False,public,4,1,0,False,Interfacer
15,\wallet\src\de\schildbach\wallet\util\Base43.java,Base43,137,2,5,0,0,False,False,1,False,False,6,9,1,5,False,False,False,True,False,public,2,3,0,False,Service Provider
16,\wallet\src\de\schildbach\wallet\WalletBalanceWidgetProvider.java,WalletBalanceWidgetProvider,169,1,6,0,1,False,False,4,True,False,6,20,29,15,False,False,False,True,False,public,3,3,0,False,Interfacer
17,\wallet\src\de\schildbach\wallet\util\Bluetooth.java,Bluetooth,70,6,5,0,2,False,False,1,False,False,4,5,1,3,False,False,False,True,False,public,5,0,0,False,Information Holder
