Class,2011-02-02,2011-05-02,2011-08-02,2011-11-01,2012-02-02,2012-05-05,2012-08-02,2012-11-02,2013-02-02,2013-05-04,2013-08-01,2013-11-05,2014-02-08,2014-05-02,2014-08-06,2014-11-10,2015-02-04,2015-05-02,2015-08-03,2015-11-06,2016-02-02,2016-05-02,2016-08-01,2016-11-03,2017-02-03,2017-05-02,2017-08-05,2017-11-22,2018-02-01,2018-05-01,2018-08-02,2018-11-03,2019-02-07,2019-05-01,2019-08-03,2019-11-03,2020-02-05
\app\core\src\main\java\com\fsck\k9\Account.DeletePolicy.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\app\core\src\main\java\com\fsck\k9\Account.Expunge.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\app\core\src\main\java\com\fsck\k9\Account.FolderMode.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\app\core\src\main\java\com\fsck\k9\Account.MessageFormat.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\app\core\src\main\java\com\fsck\k9\Account.QuoteStyle.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\app\core\src\main\java\com\fsck\k9\Account.Searchable.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\app\core\src\main\java\com\fsck\k9\Account.ShowPictures.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\app\core\src\main\java\com\fsck\k9\Account.SortType.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\app\core\src\main\java\com\fsck\k9\Account.SpecialFolderSelection.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
\app\core\src\main\java\com\fsck\k9\Account.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder,Information Holder
