index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
1,\src\com\fsck\k9\Account.FolderMode.java,FolderMode,9,5,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
2,\src\com\fsck\k9\Account.MessageFormat.java,MessageFormat,9,2,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
3,\src\com\fsck\k9\Account.QuoteStyle.java,QuoteStyle,9,2,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
4,\src\com\fsck\k9\Account.ScrollButtons.java,ScrollButtons,9,3,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
5,\src\com\fsck\k9\Account.Searchable.java,Searchable,9,3,0,0,0,False,False,1,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
6,\src\com\fsck\k9\Account.ShowPictures.java,ShowPictures,9,3,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
7,\src\com\fsck\k9\AccountStats.java,AccountStats,12,4,0,0,0,False,False,2,False,False,0,0,1,0,False,False,False,True,False,public,0,0,0,False,Information Holder
8,\src\com\fsck\k9\BaseAccount.java,BaseAccount,9,0,0,0,0,False,False,2,False,False,0,0,0,0,False,True,False,False,False,public,0,0,0,False,Information Holder
9,\src\com\fsck\k9\EmailAddressAdapter.java,EmailAddressAdapter,61,2,4,0,1,False,False,3,True,False,1,6,7,1,False,False,False,True,False,public,4,0,0,False,Service Provider
10,\src\com\fsck\k9\EmailAddressValidator.java,EmailAddressValidator,18,0,3,0,0,False,False,3,True,False,0,3,2,1,False,False,False,True,False,public,3,0,0,False,Service Provider
11,\src\com\fsck\k9\EmailReceivedIntent.java,EmailReceivedIntent,13,9,0,0,0,False,False,3,False,False,0,0,0,0,False,False,False,True,False,public,0,0,0,False,Information Holder
12,\src\com\fsck\k9\Identity.java,Identity,65,7,13,6,6,False,False,1,False,False,0,6,1,0,False,False,False,True,False,public,13,0,0,False,Information Holder
13,\src\com\fsck\k9\FontSizes.java,FontSizes,336,39,35,16,17,False,False,2,False,False,2,18,2,1,False,False,False,True,False,public,35,0,0,False,Information Holder
14,\src\com\fsck\k9\K9.ApplicationAware.java,ApplicationAware,12,0,0,0,0,False,False,2,False,False,0,0,0,0,True,True,True,False,False,public,0,0,0,False,Service Provider
15,\src\com\fsck\k9\K9.BACKGROUND_OPS.java,OPS,5,4,0,0,0,False,False,3,False,False,0,0,0,0,False,False,False,False,True,public,0,0,0,False,Information Holder
16,\src\com\fsck\k9\Account.java,Account,1342,71,141,56,54,False,False,1,False,False,31,76,23,77,False,False,False,True,False,public,136,4,1,False,Information Holder
17,\src\com\fsck\k9\K9.Intents.java,Intents,19,0,0,0,0,False,False,1,False,False,0,0,0,0,True,False,True,True,False,public,0,0,0,False,Information Holder
18,\src\com\fsck\k9\NotificationSetting.java,NotificationSetting,140,7,16,7,6,False,False,2,False,False,1,9,0,0,False,False,False,True,False,public,16,0,0,False,Information Holder
19,\src\com\fsck\k9\Preferences.java,Preferences,174,6,11,1,6,False,False,1,False,False,15,4,9,14,False,False,False,True,False,public,10,1,0,False,Structurer
20,\src\com\fsck\k9\SearchAccount.java,SearchAccount,116,11,20,8,8,False,False,2,False,False,1,10,4,1,False,False,False,True,False,public,19,0,1,False,Information Holder
21,\src\com\fsck\k9\SearchSpecification.java,SearchSpecification,11,0,0,0,0,False,False,2,False,False,0,0,1,0,False,True,False,False,False,public,0,0,0,False,Service Provider
22,\src\com\fsck\k9\K9.java,K9,831,72,73,33,9,False,False,1,False,False,12,40,31,30,False,False,False,True,False,public,69,2,2,False,Coordinator
23,\src\com\fsck\k9\view\AccessibleWebView.java,AccessibleWebView,96,3,7,0,1,False,False,3,False,False,2,9,9,1,False,False,False,True,False,public,5,2,0,False,Coordinator
24,\src\com\fsck\k9\view\ColorChip.java,ColorChip,27,2,1,0,0,False,False,2,False,False,0,0,3,2,False,False,False,True,False,public,1,0,0,False,Information Holder
25,\src\com\fsck\k9\view\AttachmentView.java,AttachmentView,272,12,10,0,1,False,False,2,False,False,13,6,25,24,False,False,False,True,False,public,7,3,0,False,Interfacer
26,\src\com\fsck\k9\view\ColorPickerBox.java,ColorPickerBox,61,8,2,1,0,False,False,3,False,False,1,2,6,1,False,False,False,True,False,public,1,0,1,False,Interfacer
27,\src\com\fsck\k9\view\MessageHeader.HeaderEntry.java,HeaderEntry,11,2,0,0,0,False,False,2,False,False,0,0,0,0,True,False,True,True,False,private,0,0,0,False,Information Holder
28,\src\com\fsck\k9\view\MessageWebView.java,MessageWebView,116,1,3,0,0,False,False,3,False,False,4,1,11,9,False,False,False,True,False,public,3,0,0,False,Interfacer
29,\src\com\fsck\k9\view\ToggleScrollView.YScrollDetector.java,YScrollDetector,26,0,1,0,0,False,True,3,True,False,1,4,2,0,False,False,True,True,False,default,1,0,0,False,Service Provider
30,\src\com\fsck\k9\view\MessageHeader.java,MessageHeader,309,21,9,1,1,False,False,2,True,False,10,5,31,31,False,False,False,True,False,public,4,5,0,False,Interfacer
31,\src\com\fsck\k9\view\ToggleScrollView.java,ToggleScrollView,45,2,3,1,0,False,False,3,False,False,2,3,5,1,False,False,False,True,False,public,3,0,0,False,Interfacer
32,\src\com\fsck\k9\service\BootReceiver.java,BootReceiver,146,5,5,0,0,False,False,2,True,False,9,11,10,8,False,False,False,True,False,public,4,1,0,False,Service Provider
33,\src\com\fsck\k9\service\CoreReceiver.java,CoreReceiver,89,4,5,0,1,False,False,2,True,False,9,9,10,3,False,False,False,True,False,public,3,2,0,False,Service Provider
34,\src\com\fsck\k9\service\CoreService.java,CoreService,162,6,8,0,0,False,False,2,False,False,15,11,14,19,False,False,False,True,False,public,6,0,2,True,Interfacer
35,\src\com\fsck\k9\service\PollService.Listener.java,Listener,91,3,9,1,1,False,False,1,True,False,6,12,9,8,False,False,True,True,False,default,8,1,0,False,Service Provider
36,\src\com\fsck\k9\service\PollService.java,PollService,67,3,4,0,0,False,False,2,False,False,6,5,6,6,False,False,False,True,False,public,4,0,0,False,Service Provider
37,\src\com\fsck\k9\service\PushService.java,PushService,48,2,4,0,0,False,False,2,False,False,3,5,5,2,False,False,False,True,False,public,4,0,0,False,Service Provider
38,\src\com\fsck\k9\service\MailService.java,MailService,468,11,19,1,1,False,False,2,False,False,44,28,17,54,False,False,False,True,False,public,11,8,0,False,Controller
39,\src\com\fsck\k9\service\RemoteControlReceiver.java,RemoteControlReceiver,49,0,1,0,0,False,False,3,True,False,2,3,9,5,False,False,False,True,False,public,1,0,0,False,Service Provider
40,\src\com\fsck\k9\service\ShutdownReceiver.java,ShutdownReceiver,37,0,1,0,0,False,False,2,True,False,1,2,5,1,False,False,False,True,False,public,1,0,0,False,Service Provider
41,\src\com\fsck\k9\service\RemoteControlService.java,RemoteControlService,176,4,2,1,0,False,False,3,False,False,23,5,14,17,False,False,False,True,False,public,2,0,0,False,Controller
42,\src\com\fsck\k9\service\SleepService.SleepDatum.java,SleepDatum,10,4,0,0,0,False,False,2,False,False,0,0,2,0,True,False,True,True,False,private,0,0,0,False,Information Holder
43,\src\com\fsck\k9\service\SleepService.java,SleepService,140,4,4,0,0,False,False,2,False,False,17,8,9,13,False,False,False,True,False,public,2,2,0,False,Service Provider
44,\src\com\fsck\k9\service\StorageGoneReceiver.java,StorageGoneReceiver,42,0,1,0,0,False,False,3,True,False,3,2,7,5,False,False,False,True,False,public,1,0,0,False,Service Provider
45,\src\com\fsck\k9\service\StorageReceiver.java,StorageReceiver,34,0,1,0,0,False,False,2,True,False,3,2,7,5,False,False,False,True,False,public,1,0,0,False,Service Provider
46,\src\com\fsck\k9\remotecontrol\AccountReceiver.java,AccountReceiver,28,1,1,0,0,False,False,2,True,False,2,2,5,1,False,False,False,True,False,default,1,0,0,False,Service Provider
47,\src\com\fsck\k9\remotecontrol\K9AccountReceptor.java,K9AccountReceptor,11,0,0,0,0,False,False,3,True,False,0,0,0,0,False,True,False,False,False,public,0,0,0,False,Structurer
48,\src\com\fsck\k9\remotecontrol\K9RemoteControl.java,K9RemoteControl,121,30,2,1,0,False,False,3,False,False,0,4,3,0,False,False,False,True,False,public,2,0,0,False,Information Holder
49,\src\com\fsck\k9\provider\AttachmentProvider.AttachmentProviderColumns.java,AttachmentProviderColumns,13,4,0,0,0,False,False,3,False,False,0,0,1,0,True,False,True,True,False,public,0,0,0,False,Information Holder
50,\src\com\fsck\k9\provider\MessageProvider.AccountExtractor.java,AccountExtractor,10,0,1,0,1,False,False,2,True,False,0,1,1,1,True,False,True,True,False,public,1,0,0,False,Coordinator
51,\src\com\fsck\k9\provider\AttachmentProvider.java,AttachmentProvider,296,3,14,0,5,False,False,2,True,False,12,31,20,28,False,False,False,True,False,public,10,4,0,False,Service Provider
52,\src\com\fsck\k9\provider\MessageProvider.AccountsQueryHandler.java,AccountsQueryHandler,33,0,3,0,2,False,False,3,True,False,0,5,5,3,False,False,True,True,False,protected,3,0,0,False,Service Provider
53,\src\com\fsck\k9\provider\MessageProvider.CountExtractor.java,CountExtractor,14,1,1,0,1,False,False,2,True,False,0,1,0,0,True,False,True,True,False,public,1,0,0,False,Information Holder
54,\src\com\fsck\k9\provider\MessageProvider.DeleteUriExtractor.java,DeleteUriExtractor,14,0,1,0,1,False,False,3,True,False,0,1,2,2,True,False,True,True,False,public,1,0,0,False,Coordinator
55,\src\com\fsck\k9\provider\MessageProvider.FieldExtractor.java,FieldExtractor,5,0,0,0,0,False,False,2,True,False,0,0,0,0,True,True,True,False,False,public,0,0,0,False,Service Provider
56,\src\com\fsck\k9\provider\MessageProvider.IdExtractor.java,IdExtractor,10,0,1,0,1,False,False,2,True,False,0,1,1,1,True,False,True,True,False,public,1,0,0,False,Coordinator
57,\src\com\fsck\k9\provider\MessageProvider.IncrementExtractor.java,IncrementExtractor,13,1,1,0,1,False,False,2,True,False,0,1,1,0,True,False,True,True,False,public,1,0,0,False,Information Holder
58,\src\com\fsck\k9\provider\MessageProvider.MessageColumns.java,MessageColumns,31,8,0,0,0,False,False,2,False,False,0,0,1,0,True,True,True,False,False,public,0,0,0,False,Information Holder
59,\src\com\fsck\k9\provider\MessageProvider.MessagesQueryHandler.java,MessagesQueryHandler,126,0,4,0,2,False,False,3,True,False,3,8,13,15,False,False,True,True,False,protected,2,0,2,False,Structurer
60,\src\com\fsck\k9\provider\MessageProvider.MesssageInfoHolderRetrieverListener.java,MesssageInfoHolderRetrieverListener,59,2,2,0,0,False,False,5,True,False,0,4,14,2,False,False,True,True,False,protected,2,0,0,False,Structurer
61,\src\com\fsck\k9\provider\MessageProvider.PreviewExtractor.java,PreviewExtractor,10,0,1,0,1,False,False,2,True,False,0,1,1,1,True,False,True,True,False,public,1,0,0,False,Coordinator
62,\src\com\fsck\k9\provider\MessageProvider.MonitoredCursor.java,MonitoredCursor,312,3,43,1,17,False,False,2,True,False,2,26,12,24,True,False,True,True,False,protected,41,0,2,False,Service Provider
63,\src\com\fsck\k9\provider\MessageProvider.QueryHandler.java,QueryHandler,24,0,0,0,0,False,False,2,True,False,0,0,2,0,True,True,True,False,False,protected,0,0,0,False,Service Provider
64,\src\com\fsck\k9\provider\MessageProvider.SendDateExtractor.java,SendDateExtractor,10,0,1,0,1,False,False,3,True,False,0,1,1,1,True,False,True,True,False,public,1,0,0,False,Coordinator
65,\src\com\fsck\k9\provider\MessageProvider.SenderExtractor.java,SenderExtractor,10,0,1,0,1,False,False,2,True,False,0,1,1,0,True,False,True,True,False,public,1,0,0,False,Coordinator
66,\src\com\fsck\k9\provider\MessageProvider.SubjectExtractor.java,SubjectExtractor,10,0,1,0,1,False,False,2,True,False,0,1,1,1,True,False,True,True,False,public,1,0,0,False,Coordinator
67,\src\com\fsck\k9\provider\MessageProvider.ThrottlingQueryHandler.java,ThrottlingQueryHandler,60,1,2,0,1,False,False,3,True,False,2,5,7,6,False,False,True,True,False,protected,2,0,0,False,Service Provider
68,\src\com\fsck\k9\provider\MessageProvider.UnreadQueryHandler.java,UnreadQueryHandler,65,0,3,0,2,False,False,3,True,False,2,6,10,6,False,False,True,True,False,protected,3,0,0,False,Service Provider
69,\src\com\fsck\k9\provider\MessageProvider.UriExtractor.java,UriExtractor,10,0,1,0,1,False,False,2,True,False,0,1,1,0,True,False,True,True,False,public,1,0,0,False,Coordinator
70,\src\com\fsck\k9\provider\MessageProvider.java,MessageProvider,263,8,7,0,1,False,False,2,True,False,16,16,22,11,False,False,False,True,False,public,6,0,1,False,Coordinator
71,\src\com\fsck\k9\preferences\CheckBoxListPreference.java,CheckBoxListPreference,69,3,5,2,1,False,False,4,False,False,1,4,5,1,False,False,False,True,False,public,3,0,2,False,Service Provider
72,\src\com\fsck\k9\preferences\Editor.java,Editor,148,5,11,0,0,False,False,1,True,False,6,12,6,12,False,False,False,True,False,public,11,0,0,False,Service Provider
73,\src\com\fsck\k9\preferences\TimePickerPreference.java,TimePickerPreference,135,2,7,1,3,False,False,3,False,False,5,4,5,1,False,False,False,True,False,public,3,3,1,False,Interfacer
74,\src\com\fsck\k9\mail\AuthenticationFailedException.java,AuthenticationFailedException,13,1,0,0,0,False,False,3,False,False,0,0,0,0,False,False,False,True,False,public,0,0,0,False,Information Holder
75,\src\com\fsck\k9\preferences\Storage.java,Storage,402,9,21,0,7,True,False,1,False,False,31,24,14,36,False,False,False,True,False,public,12,5,4,False,Structurer
76,\src\com\fsck\k9\mail\Body.java,Body,9,0,0,0,0,False,False,1,False,False,0,0,3,0,False,True,False,False,False,public,0,0,0,False,Service Provider
77,\src\com\fsck\k9\mail\Address.java,Address,391,4,18,2,2,False,False,1,False,False,28,13,17,28,False,False,False,True,False,public,18,0,0,False,Service Provider
78,\src\com\fsck\k9\mail\BodyPart.java,BodyPart,13,1,2,1,1,False,False,2,False,False,0,1,0,0,False,False,False,True,False,public,2,0,0,True,Information Holder
79,\src\com\fsck\k9\mail\CertificateValidationException.java,CertificateValidationException,13,1,0,0,0,False,False,3,False,False,0,0,0,0,False,False,False,True,False,public,0,0,0,False,Information Holder
80,\src\com\fsck\k9\mail\FetchProfile.Item.java,Item,43,5,0,0,0,False,False,1,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
81,\src\com\fsck\k9\mail\FetchProfile.java,FetchProfile,23,1,0,0,0,False,True,2,False,False,0,0,1,0,False,False,False,True,False,public,0,0,0,False,Structurer
82,\src\com\fsck\k9\mail\Flag.java,Flag,49,13,0,0,0,False,False,1,False,False,0,0,0,0,False,False,False,False,True,public,0,0,0,False,Information Holder
83,\src\com\fsck\k9\mail\Folder.FolderClass.java,FolderClass,5,5,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
84,\src\com\fsck\k9\mail\Folder.FolderType.java,FolderType,5,2,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
85,\src\com\fsck\k9\mail\Folder.OpenMode.java,OpenMode,5,2,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
86,\src\com\fsck\k9\mail\Message.RecipientType.java,RecipientType,5,3,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
87,\src\com\fsck\k9\mail\Folder.java,Folder,178,4,23,3,10,False,False,1,True,False,1,19,6,3,False,False,False,True,False,public,23,0,0,True,Structurer
88,\src\com\fsck\k9\mail\Message.java,Message,172,6,18,5,4,False,False,1,False,False,6,14,5,8,False,False,False,True,False,public,18,0,0,True,Structurer
89,\src\com\fsck\k9\mail\MessagingException.java,MessagingException,32,2,2,1,0,False,False,2,False,False,0,1,0,0,False,False,False,True,False,public,2,0,0,False,Information Holder
90,\src\com\fsck\k9\mail\Multipart.java,Multipart,82,3,11,3,4,False,False,1,False,False,3,9,4,4,False,False,False,True,False,public,11,0,0,True,Structurer
91,\src\com\fsck\k9\mail\Part.java,Part,19,0,0,0,0,False,False,1,False,False,0,0,2,0,False,True,False,False,False,public,0,0,0,False,Service Provider
92,\src\com\fsck\k9\mail\PushReceiver.java,PushReceiver,16,0,0,0,0,False,False,2,True,False,0,0,3,0,False,True,False,False,False,public,0,0,0,False,Service Provider
93,\src\com\fsck\k9\mail\Pusher.java,Pusher,15,0,0,0,0,False,False,1,True,False,0,0,1,0,False,True,False,False,False,public,0,0,0,False,Service Provider
94,\src\com\fsck\k9\mail\Store.java,Store,119,5,10,0,4,False,False,1,False,False,6,5,8,3,False,False,False,True,False,public,10,0,0,True,Structurer
95,\src\com\fsck\k9\mail\Transport.java,Transport,29,2,1,0,1,False,False,1,False,False,1,1,3,1,False,False,False,True,False,public,1,0,0,True,Service Provider
96,\src\com\fsck\k9\mail\transport\TrustedSocketFactory.java,TrustedSocketFactory,64,2,4,0,0,False,False,3,False,False,0,11,15,3,False,False,False,True,False,public,4,0,0,False,Interfacer
97,\src\com\fsck\k9\mail\transport\WebDavTransport.java,WebDavTransport,41,1,3,0,0,False,False,3,False,False,3,1,7,3,False,False,False,True,False,public,3,0,0,False,Service Provider
98,\src\com\fsck\k9\mail\transport\imap\ImapSettings.java,ImapSettings,21,0,0,0,0,False,False,2,False,False,0,0,1,0,False,True,False,False,False,public,0,0,0,False,Service Provider
99,\src\com\fsck\k9\mail\store\ImapResponseParser.IImapResponseCallback.java,IImapResponseCallback,25,0,0,0,0,False,False,4,False,False,0,0,2,0,False,True,True,False,False,public,0,0,0,False,Service Provider
100,\src\com\fsck\k9\mail\transport\SmtpTransport.java,SmtpTransport,602,16,12,0,0,False,False,2,False,False,31,15,29,44,False,False,False,True,False,public,3,9,0,False,Interfacer
101,\src\com\fsck\k9\mail\store\ImapResponseParser.ImapList.java,ImapList,138,1,15,0,13,False,True,2,False,False,5,15,5,0,False,False,True,True,False,public,14,1,0,False,Structurer
102,\src\com\fsck\k9\mail\store\ImapResponseParser.ImapResponse.java,ImapResponse,44,5,3,0,1,False,False,2,False,False,2,0,1,3,False,False,True,True,False,public,3,0,0,False,Information Holder
