index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
3,\src\com\fsck\k9\Account.FolderMode.java,FolderMode,8,5,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
4,\src\com\fsck\k9\Account.MessageFormat.java,MessageFormat,8,2,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
5,\src\com\fsck\k9\Account.QuoteStyle.java,QuoteStyle,8,2,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
6,\src\com\fsck\k9\Account.ScrollButtons.java,ScrollButtons,8,3,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
7,\src\com\fsck\k9\Account.Searchable.java,Searchable,8,3,0,0,0,False,False,1,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
8,\src\com\fsck\k9\Account.ShowPictures.java,ShowPictures,8,3,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
9,\src\com\fsck\k9\AccountStats.java,AccountStats,12,5,0,0,0,False,False,2,False,False,0,0,1,0,False,False,False,True,False,public,0,0,0,False,Information Holder
10,\src\com\fsck\k9\BaseAccount.java,BaseAccount,8,0,0,0,0,False,False,2,False,False,0,0,0,0,False,True,False,False,False,public,0,0,0,False,Information Holder
11,\src\com\fsck\k9\EmailAddressAdapter.java,EmailAddressAdapter,54,2,4,0,1,False,False,3,True,False,1,6,7,1,False,False,False,True,False,public,4,0,0,False,Coordinator
12,\src\com\fsck\k9\EmailAddressValidator.java,EmailAddressValidator,14,0,3,0,0,False,False,3,True,False,0,3,2,1,False,False,False,True,False,public,3,0,0,False,Service Provider
13,\src\com\fsck\k9\EmailReceivedIntent.java,EmailReceivedIntent,12,9,0,0,0,False,False,3,False,False,0,0,0,0,False,False,False,True,False,public,0,0,0,False,Information Holder
14,\src\com\fsck\k9\Identity.java,Identity,51,7,13,6,6,False,False,1,False,False,0,6,1,0,False,False,False,True,False,public,13,0,0,False,Information Holder
15,\src\com\fsck\k9\K9.ApplicationAware.java,ApplicationAware,11,0,0,0,0,False,False,2,False,False,0,0,0,0,True,True,True,False,False,public,0,0,0,False,Service Provider
16,\src\com\fsck\k9\FontSizes.java,FontSizes,297,39,35,16,17,False,False,2,False,False,2,18,2,1,False,False,False,True,False,public,35,0,0,False,Information Holder
17,\src\com\fsck\k9\K9.BACKGROUND_OPS.java,OPS,4,4,0,0,0,False,False,3,False,False,0,0,0,0,False,False,False,False,True,public,0,0,0,False,Information Holder
18,\src\com\fsck\k9\Account.java,Account,1137,75,143,55,55,False,False,1,False,False,31,78,26,77,False,False,False,True,False,public,138,4,1,False,Information Holder
19,\src\com\fsck\k9\K9.Intents.java,Intents,25,0,0,0,0,False,False,1,False,False,0,0,0,0,True,False,True,True,False,public,0,0,0,False,Information Holder
20,\src\com\fsck\k9\NotificationSetting.java,NotificationSetting,121,7,16,7,6,False,False,2,False,False,1,9,0,0,False,False,False,True,False,public,16,0,0,False,Information Holder
21,\src\com\fsck\k9\Preferences.java,Preferences,136,7,11,1,6,False,False,1,False,False,11,4,12,14,False,False,False,True,False,public,11,0,0,False,Structurer
22,\src\com\fsck\k9\SearchAccount.java,SearchAccount,92,11,20,8,8,False,False,2,False,False,1,10,4,1,False,False,False,True,False,public,19,0,1,False,Information Holder
23,\src\com\fsck\k9\SearchSpecification.java,SearchSpecification,10,0,0,0,0,False,False,2,False,False,0,0,1,0,False,True,False,False,False,public,0,0,0,False,Service Provider
24,\src\com\fsck\k9\K9.java,K9,719,74,75,33,9,False,False,1,False,False,12,40,31,29,False,False,False,True,False,public,70,3,2,False,Coordinator
25,\src\com\fsck\k9\view\AccessibleWebView.java,AccessibleWebView,82,3,7,0,1,False,False,3,False,False,2,9,9,1,False,False,False,True,False,public,5,2,0,False,Coordinator
26,\src\com\fsck\k9\view\ColorChip.java,ColorChip,23,2,1,0,0,False,False,2,False,False,0,0,3,2,False,False,False,True,False,public,1,0,0,False,Information Holder
27,\src\com\fsck\k9\view\AttachmentView.java,AttachmentView,225,12,10,0,1,False,False,2,False,False,13,6,25,24,False,False,False,True,False,public,7,3,0,False,Interfacer
28,\src\com\fsck\k9\view\ColorPickerBox.java,ColorPickerBox,54,8,2,1,0,False,False,3,False,False,1,2,6,1,False,False,False,True,False,public,1,0,1,False,Interfacer
29,\src\com\fsck\k9\view\MessageHeader.HeaderEntry.java,HeaderEntry,9,2,0,0,0,False,False,2,False,False,0,0,0,0,True,False,True,True,False,private,0,0,0,False,Information Holder
30,\src\com\fsck\k9\view\MessageCryptoView.java,MessageCryptoView,124,7,4,2,0,False,False,3,False,False,11,4,15,10,False,False,False,True,False,public,4,0,0,False,Interfacer
31,\src\com\fsck\k9\view\MessageWebView.java,MessageWebView,97,1,3,0,0,False,False,3,False,False,4,1,11,9,False,False,False,True,False,public,3,0,0,False,Interfacer
32,\src\com\fsck\k9\view\MessageHeader.java,MessageHeader,263,21,9,1,1,False,False,2,True,False,10,5,31,31,False,False,False,True,False,public,4,5,0,False,Interfacer
33,\src\com\fsck\k9\view\ToggleScrollView.YScrollDetector.java,YScrollDetector,18,0,1,0,0,False,True,3,True,False,1,4,2,0,False,False,True,True,False,default,1,0,0,False,Service Provider
34,\src\com\fsck\k9\view\ToggleScrollView.java,ToggleScrollView,38,2,3,1,0,False,False,3,False,False,2,3,5,1,False,False,False,True,False,public,3,0,0,False,Interfacer
35,\src\com\fsck\k9\view\SingleMessageView.java,SingleMessageView,258,11,23,6,0,False,False,3,False,False,15,32,27,30,False,False,False,True,False,public,22,1,0,False,Interfacer
36,\src\com\fsck\k9\service\BootReceiver.java,BootReceiver,119,5,5,0,0,False,False,2,True,False,9,11,10,8,False,False,False,True,False,public,4,1,0,False,Service Provider
37,\src\com\fsck\k9\service\CoreReceiver.java,CoreReceiver,72,4,5,0,1,False,False,2,True,False,9,9,10,3,False,False,False,True,False,public,3,2,0,False,Service Provider
38,\src\com\fsck\k9\service\CoreService.java,CoreService,137,6,8,0,0,False,False,2,False,False,16,11,15,22,False,False,False,True,False,public,6,0,2,True,Interfacer
39,\src\com\fsck\k9\service\PollService.Listener.java,Listener,77,3,9,1,1,False,False,1,True,False,6,12,9,8,False,False,True,True,False,default,8,1,0,False,Service Provider
40,\src\com\fsck\k9\service\PollService.java,PollService,56,3,4,0,0,False,False,2,False,False,6,5,6,6,False,False,False,True,False,public,4,0,0,False,Service Provider
41,\src\com\fsck\k9\service\PushService.java,PushService,40,2,4,0,0,False,False,2,False,False,3,5,5,2,False,False,False,True,False,public,4,0,0,False,Service Provider
42,\src\com\fsck\k9\service\MailService.java,MailService,388,14,20,1,1,False,False,2,False,False,45,28,17,55,False,False,False,True,False,public,12,8,0,False,Controller
43,\src\com\fsck\k9\service\RemoteControlReceiver.java,RemoteControlReceiver,40,0,1,0,0,False,False,3,True,False,2,3,9,5,False,False,False,True,False,public,1,0,0,False,Service Provider
44,\src\com\fsck\k9\service\ShutdownReceiver.java,ShutdownReceiver,34,0,1,0,0,False,False,2,True,False,1,2,5,1,False,False,False,True,False,public,1,0,0,False,Service Provider
45,\src\com\fsck\k9\service\RemoteControlService.java,RemoteControlService,145,4,2,1,0,False,False,3,False,False,23,5,14,17,False,False,False,True,False,public,2,0,0,False,Controller
46,\src\com\fsck\k9\service\SleepService.SleepDatum.java,SleepDatum,9,4,0,0,0,False,False,2,False,False,0,0,2,0,True,False,True,True,False,private,0,0,0,False,Information Holder
47,\src\com\fsck\k9\service\SleepService.java,SleepService,109,4,4,0,0,False,False,2,False,False,17,8,9,13,False,False,False,True,False,public,2,2,0,False,Service Provider
48,\src\com\fsck\k9\service\StorageGoneReceiver.java,StorageGoneReceiver,35,0,1,0,0,False,False,3,True,False,3,2,7,5,False,False,False,True,False,public,1,0,0,False,Service Provider
49,\src\com\fsck\k9\service\StorageReceiver.java,StorageReceiver,29,0,1,0,0,False,False,2,True,False,3,2,7,5,False,False,False,True,False,public,1,0,0,False,Service Provider
50,\src\com\fsck\k9\remotecontrol\AccountReceiver.java,AccountReceiver,23,1,1,0,0,False,False,2,True,False,2,2,5,1,False,False,False,True,False,default,1,0,0,False,Service Provider
51,\src\com\fsck\k9\remotecontrol\K9AccountReceptor.java,K9AccountReceptor,10,0,0,0,0,False,False,3,True,False,0,0,0,0,False,True,False,False,False,public,0,0,0,False,Service Provider
52,\src\com\fsck\k9\remotecontrol\K9RemoteControl.java,K9RemoteControl,118,30,2,1,0,False,False,3,False,False,0,4,3,0,False,False,False,True,False,public,2,0,0,False,Information Holder
