index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
5,\src\com\fsck\k9\Account.FolderMode.java,FolderMode,8,5,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
7,\src\com\fsck\k9\Account.MessageFormat.java,MessageFormat,8,3,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
8,\src\com\fsck\k9\Account.QuoteStyle.java,QuoteStyle,8,2,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
9,\src\com\fsck\k9\Account.ScrollButtons.java,ScrollButtons,8,3,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
10,\src\com\fsck\k9\Account.Searchable.java,Searchable,8,3,0,0,0,False,False,1,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
11,\src\com\fsck\k9\Account.ShowPictures.java,ShowPictures,8,3,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
12,\src\com\fsck\k9\AccountStats.java,AccountStats,12,5,0,0,0,False,False,2,False,False,0,0,1,0,False,False,False,True,False,public,0,0,0,False,Information Holder
13,\src\com\fsck\k9\BaseAccount.java,BaseAccount,8,0,0,0,0,False,False,2,False,False,0,0,0,0,False,True,False,False,False,public,0,0,0,False,Information Holder
14,\src\com\fsck\k9\EmailAddressValidator.java,EmailAddressValidator,14,0,3,0,0,False,False,3,True,False,0,3,2,1,False,False,False,True,False,public,3,0,0,False,Service Provider
15,\src\com\fsck\k9\EmailReceivedIntent.java,EmailReceivedIntent,12,9,0,0,0,False,False,3,False,False,0,0,0,0,False,False,False,True,False,public,0,0,0,False,Information Holder
16,\src\com\fsck\k9\EmailAddressAdapter.java,EmailAddressAdapter,54,2,4,0,1,False,False,3,True,False,1,6,7,1,False,False,False,True,False,public,4,0,0,False,Coordinator
17,\src\com\fsck\k9\K9.ApplicationAware.java,ApplicationAware,11,0,0,0,0,False,False,2,False,False,0,0,0,0,True,True,True,False,False,public,0,0,0,False,Service Provider
18,\src\com\fsck\k9\Identity.java,Identity,51,7,13,6,6,False,False,1,False,False,0,6,1,0,False,False,False,True,False,public,13,0,0,False,Information Holder
19,\src\com\fsck\k9\K9.BACKGROUND_OPS.java,OPS,4,4,0,0,0,False,False,3,False,False,0,0,0,0,False,False,False,False,True,public,0,0,0,False,Information Holder
20,\src\com\fsck\k9\K9.Intents.java,Intents,25,0,0,0,0,False,False,1,False,False,0,0,0,0,True,False,True,True,False,public,0,0,0,False,Information Holder
21,\src\com\fsck\k9\FontSizes.java,FontSizes,311,41,37,17,18,False,False,2,False,False,2,19,2,1,False,False,False,True,False,public,37,0,0,False,Information Holder
22,\src\com\fsck\k9\NotificationSetting.java,NotificationSetting,121,7,16,7,6,False,False,2,False,False,1,9,0,0,False,False,False,True,False,public,16,0,0,False,Information Holder
23,\src\com\fsck\k9\SearchAccount.java,SearchAccount,93,11,20,8,8,False,False,2,False,False,1,10,4,1,False,False,False,True,False,public,19,0,1,False,Information Holder
24,\src\com\fsck\k9\SearchSpecification.java,SearchSpecification,10,0,0,0,0,False,False,2,False,False,0,0,1,0,False,True,False,False,False,public,0,0,0,False,Service Provider
25,\src\com\fsck\k9\Preferences.java,Preferences,140,7,11,1,6,False,False,1,False,False,13,4,12,15,False,False,False,True,False,public,11,0,0,False,Structurer
