index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
10,\src\com\fsck\k9\Account.FolderMode.java,FolderMode,8,5,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
11,\src\com\fsck\k9\Account.MessageFormat.java,MessageFormat,8,3,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
12,\src\com\fsck\k9\Account.QuoteStyle.java,QuoteStyle,8,2,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
13,\src\com\fsck\k9\Account.Searchable.java,Searchable,8,3,0,0,0,False,False,1,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
14,\src\com\fsck\k9\Account.ShowPictures.java,ShowPictures,8,3,0,0,0,False,False,2,False,False,0,0,0,0,False,False,True,False,True,public,0,0,0,False,Information Holder
15,\src\com\fsck\k9\Account.SortType.java,SortType,32,10,2,0,1,False,False,2,False,False,1,1,0,0,False,False,True,False,True,public,2,0,0,False,Information Holder
16,\src\com\fsck\k9\AccountStats.java,AccountStats,12,5,0,0,0,False,False,2,False,False,0,0,1,0,False,False,False,True,False,public,0,0,0,False,Information Holder
17,\src\com\fsck\k9\BaseAccount.java,BaseAccount,8,0,0,0,0,False,False,2,False,False,0,0,0,0,False,True,False,False,False,public,0,0,0,False,Information Holder
18,\src\com\fsck\k9\EmailAddressAdapter.java,EmailAddressAdapter,47,1,3,0,0,False,False,3,True,False,0,5,7,2,False,False,False,True,False,public,3,0,0,False,Service Provider
19,\src\com\fsck\k9\EmailAddressValidator.java,EmailAddressValidator,14,0,3,0,0,False,False,3,True,False,0,3,2,1,False,False,False,True,False,public,3,0,0,False,Service Provider
20,\src\com\fsck\k9\EmailReceivedIntent.java,EmailReceivedIntent,12,9,0,0,0,False,False,3,False,False,0,0,0,0,False,False,False,True,False,public,0,0,0,False,Information Holder
21,\src\com\fsck\k9\Identity.java,Identity,51,7,13,6,6,False,False,1,False,False,0,6,1,0,False,False,False,True,False,public,13,0,0,False,Information Holder
22,\src\com\fsck\k9\K9.ApplicationAware.java,ApplicationAware,11,0,0,0,0,False,False,2,False,False,0,0,0,0,True,True,True,False,False,public,0,0,0,False,Service Provider
23,\src\com\fsck\k9\K9.BACKGROUND_OPS.java,OPS,4,4,0,0,0,False,False,3,False,False,0,0,0,0,False,False,False,False,True,public,0,0,0,False,Information Holder
24,\src\com\fsck\k9\K9.Intents.java,Intents,25,0,0,0,0,False,False,1,False,False,0,0,0,0,True,False,True,True,False,public,0,0,0,False,Information Holder
25,\src\com\fsck\k9\FontSizes.java,FontSizes,311,41,37,17,18,False,False,2,False,False,2,19,2,1,False,False,False,True,False,public,37,0,0,False,Information Holder
26,\src\com\fsck\k9\NotificationSetting.java,NotificationSetting,121,7,16,7,6,False,False,2,False,False,1,9,0,0,False,False,False,True,False,public,16,0,0,False,Information Holder
27,\src\com\fsck\k9\Account.java,Account,1330,92,164,62,55,False,False,1,False,False,39,89,26,84,False,False,False,True,False,public,159,4,1,False,Structurer
28,\src\com\fsck\k9\Preferences.java,Preferences,140,7,11,1,6,False,False,1,False,False,13,4,12,15,False,False,False,True,False,public,11,0,0,False,Structurer
29,\src\com\fsck\k9\SearchAccount.java,SearchAccount,123,11,22,8,8,False,False,2,False,False,1,12,4,1,False,False,False,True,False,public,21,0,1,False,Information Holder
30,\src\com\fsck\k9\SearchSpecification.java,SearchSpecification,10,0,0,0,0,False,False,2,False,False,0,0,1,0,False,True,False,False,False,public,0,0,0,False,Service Provider
31,\src\com\fsck\k9\view\AccessibleWebView.java,AccessibleWebView,94,4,8,1,1,False,False,3,False,False,3,10,11,2,False,False,False,True,False,public,6,2,0,False,Interfacer
32,\src\com\fsck\k9\K9.java,K9,879,89,105,47,13,False,False,1,False,False,15,57,35,31,False,False,False,True,False,public,100,3,2,False,Controller
33,\src\com\fsck\k9\view\AttachmentView.AttachmentFileDownloadCallback.java,AttachmentFileDownloadCallback,13,0,0,0,0,False,False,4,False,False,0,0,0,0,False,True,True,False,False,public,0,0,0,False,Service Provider
34,\src\com\fsck\k9\view\ColorChip.java,ColorChip,23,2,1,0,0,False,False,2,False,False,0,0,3,2,False,False,False,True,False,public,1,0,0,False,Information Holder
35,\src\com\fsck\k9\view\ColorPickerBox.java,ColorPickerBox,54,8,2,1,0,False,False,3,False,False,1,2,6,1,False,False,False,True,False,public,1,0,1,False,Interfacer
36,\src\com\fsck\k9\view\AttachmentView.java,AttachmentView,301,13,15,1,2,False,False,2,False,False,17,10,37,24,False,False,False,True,False,public,12,3,0,False,Interfacer
37,\src\com\fsck\k9\view\MessageHeader.HeaderEntry.java,HeaderEntry,9,2,0,0,0,False,False,2,False,False,0,0,0,0,True,False,True,True,False,private,0,0,0,False,Information Holder
38,\src\com\fsck\k9\view\MessageCryptoView.java,MessageCryptoView,123,7,4,2,0,False,False,3,False,False,11,4,14,10,False,False,False,True,False,public,4,0,0,False,Interfacer
39,\src\com\fsck\k9\view\MessageHeader.OnLayoutChangedListener.java,OnLayoutChangedListener,4,0,0,0,0,False,False,4,True,False,0,0,0,0,False,True,True,False,False,public,0,0,0,False,Service Provider
40,\src\com\fsck\k9\view\MessageHeader.SavedState.java,SavedState,30,2,1,0,0,False,False,2,False,False,0,2,2,2,True,False,True,True,False,default,1,0,0,False,Information Holder
41,\src\com\fsck\k9\view\MessageWebView.java,MessageWebView,133,1,5,1,0,False,False,3,False,False,7,4,12,11,False,False,False,True,False,public,5,0,0,False,Interfacer
42,\src\com\fsck\k9\view\MessageHeader.java,MessageHeader,338,25,16,2,1,False,False,2,True,False,15,10,34,36,False,False,False,True,False,public,8,8,0,False,Interfacer
43,\src\com\fsck\k9\view\SingleMessageView.DownloadImageTask.java,DownloadImageTask,115,0,2,0,0,False,False,3,False,False,12,2,18,15,False,False,True,True,False,default,0,0,2,False,Service Provider
44,\src\com\fsck\k9\view\SingleMessageView.SavedState.java,SavedState,38,4,1,0,0,False,False,2,False,False,0,2,4,4,True,False,True,True,False,default,1,0,0,False,Information Holder
45,\src\com\fsck\k9\service\BootReceiver.java,BootReceiver,118,5,5,0,0,False,False,2,True,False,9,11,9,8,False,False,False,True,False,public,4,1,0,False,Service Provider
46,\src\com\fsck\k9\service\CoreReceiver.java,CoreReceiver,72,4,5,0,1,False,False,2,True,False,9,9,10,3,False,False,False,True,False,public,3,2,0,False,Service Provider
47,\src\com\fsck\k9\view\SingleMessageView.java,SingleMessageView,657,37,41,8,1,False,False,3,False,False,35,40,39,56,False,False,False,True,False,public,36,5,0,False,Interfacer
48,\src\com\fsck\k9\service\CoreService.java,CoreService,388,8,12,1,0,False,False,2,False,False,19,19,15,22,False,False,False,True,False,public,6,0,6,True,Service Provider
49,\src\com\fsck\k9\service\PollService.Listener.java,Listener,77,3,9,1,1,False,False,1,True,False,6,12,9,8,False,False,True,True,False,default,8,1,0,False,Service Provider
50,\src\com\fsck\k9\service\PollService.java,PollService,62,3,5,0,0,False,False,2,False,False,6,5,6,7,False,False,False,True,False,public,5,0,0,False,Service Provider
51,\src\com\fsck\k9\service\PushService.java,PushService,48,2,5,0,0,False,False,2,False,False,3,5,5,3,False,False,False,True,False,public,5,0,0,False,Service Provider
52,\src\com\fsck\k9\service\MailService.java,MailService,381,14,23,1,1,False,False,2,False,False,41,32,17,57,False,False,False,True,False,public,12,11,0,False,Controller
53,\src\com\fsck\k9\service\RemoteControlReceiver.java,RemoteControlReceiver,40,0,1,0,0,False,False,3,True,False,2,3,9,5,False,False,False,True,False,public,1,0,0,False,Service Provider
54,\src\com\fsck\k9\service\ShutdownReceiver.java,ShutdownReceiver,34,0,1,0,0,False,False,2,True,False,1,2,5,1,False,False,False,True,False,public,1,0,0,False,Service Provider
55,\src\com\fsck\k9\service\RemoteControlService.java,RemoteControlService,143,4,2,1,0,False,False,3,False,False,22,5,14,17,False,False,False,True,False,public,2,0,0,False,Controller
