index,fullpathname,classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,pred_label
17,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\OpenPgpError.java,OpenPgpError,99,9,6,2,2,False,False,3,True,False,0,4,2,8,False,False,False,True,False,public,6,0,0,False,Information Holder
18,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\OpenPgpMetadata.java,OpenPgpMetadata,112,6,7,0,4,False,False,3,False,False,0,2,2,10,False,False,False,True,False,public,7,0,0,False,Information Holder
19,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpApi.IOpenPgpCallback.java,IOpenPgpCallback,20,0,0,0,0,False,False,4,False,False,0,0,1,0,False,True,True,False,False,public,0,0,0,False,Service Provider
20,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\OpenPgpSignatureResult.java,OpenPgpSignatureResult,152,13,13,5,4,False,False,4,False,False,0,7,4,11,False,False,False,True,False,public,13,0,0,False,Information Holder
21,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpApi.OpenPgpAsyncTask.java,OpenPgpAsyncTask,39,4,2,0,0,False,False,4,False,False,0,2,4,0,False,False,True,True,False,private,0,0,2,False,Service Provider
22,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpAppPreference.OpenPgpProviderEntry.java,OpenPgpProviderEntry,41,4,1,0,0,False,False,4,False,False,0,0,2,0,True,False,True,True,False,private,1,0,0,False,Information Holder
23,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpApi.java,OpenPgpApi,338,45,2,0,0,False,False,3,False,False,5,7,12,7,False,False,False,True,False,public,2,0,0,False,Interfacer
24,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpKeyPreference.MyCallback.java,MyCallback,54,1,1,0,0,False,False,2,False,False,1,1,6,2,False,False,True,True,False,private,1,0,0,False,Service Provider
25,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpAppPreference.java,OpenPgpAppPreference,248,7,15,2,5,False,False,4,False,False,10,15,14,15,False,False,False,True,False,public,6,5,4,False,Structurer
26,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpKeyPreference.SavedState.java,SavedState,48,4,1,0,0,False,False,2,False,False,0,2,2,4,True,False,True,True,False,private,1,0,0,False,Information Holder
27,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpServiceConnection.OnBound.java,OnBound,21,0,0,0,0,False,False,2,False,False,0,0,1,0,False,True,True,False,False,public,0,0,0,False,Service Provider
28,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpKeyPreference.java,OpenPgpKeyPreference,175,5,14,4,2,False,False,4,False,False,6,13,11,7,False,False,False,True,False,public,6,3,5,False,Interfacer
29,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpServiceConnection.java,OpenPgpServiceConnection,102,5,4,0,1,False,False,4,False,False,5,0,6,1,False,False,False,True,False,public,4,0,0,False,Information Holder
30,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpUtils.UserId.java,UserId,26,3,0,0,0,False,False,2,False,False,0,0,0,0,True,False,True,True,False,public,0,0,0,False,Information Holder
31,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\ParcelFileDescriptorUtil.IThreadListener.java,IThreadListener,23,0,0,0,0,False,False,3,True,False,0,0,0,0,False,True,True,False,False,public,0,0,0,False,Service Provider
32,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\OpenPgpUtils.java,OpenPgpUtils,98,6,6,0,0,False,False,3,False,False,5,6,8,6,False,False,False,True,False,public,5,1,0,False,Interfacer
33,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\ParcelFileDescriptorUtil.TransferThread.java,TransferThread,63,3,1,0,0,False,False,2,False,False,1,0,3,7,True,False,True,True,False,default,1,0,0,False,Service Provider
34,\plugins\openpgp-api-library\src\main\java\org\openintents\openpgp\util\ParcelFileDescriptorUtil.java,ParcelFileDescriptorUtil,48,0,2,0,0,False,False,4,False,False,0,4,4,4,False,False,False,True,False,public,2,0,0,False,Service Provider
35,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\ILoadingLayout.java,ILoadingLayout,48,0,0,0,0,False,False,3,False,False,0,0,2,0,False,True,False,False,False,public,0,0,0,False,Service Provider
36,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\IPullToRefresh.java,IPullToRefresh,217,0,0,0,0,False,False,4,False,False,0,0,7,1,False,True,False,False,False,public,0,0,0,False,Interfacer
37,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\LoadingLayoutProxy.java,LoadingLayoutProxy,60,1,7,6,0,False,False,3,False,False,1,7,4,0,False,False,False,True,False,public,7,0,0,False,Service Provider
38,\plugins\HoloColorPicker\src\com\larswerkman\colorpicker\ColorPicker.java,ColorPicker,419,13,14,1,2,False,False,2,True,False,15,15,13,6,False,False,False,True,False,public,4,6,4,False,Service Provider
39,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\OverscrollHelper.java,OverscrollHelper,163,2,4,0,0,False,False,2,True,False,9,23,5,11,False,False,False,True,False,public,3,0,0,False,Service Provider
40,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.AnimationStyle.java,AnimationStyle,62,2,3,0,1,False,False,2,False,False,2,5,5,0,True,False,True,False,True,public,0,0,0,False,Information Holder
41,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.Mode.java,Mode,98,8,6,0,2,False,False,1,False,False,1,1,0,2,True,False,True,False,True,public,2,0,0,False,Information Holder
42,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.OnLastItemVisibleListener.java,OnLastItemVisibleListener,22,0,0,0,0,False,False,5,True,False,0,0,0,0,True,True,True,False,False,public,0,0,0,False,Service Provider
43,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshAdapterViewBase.java,PullToRefreshAdapterViewBase,410,8,26,7,2,False,False,6,False,False,43,20,18,37,False,False,False,True,False,public,10,7,9,True,Interfacer
44,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.OnPullEventListener.java,OnPullEventListener,32,0,0,0,0,False,False,4,True,False,0,0,1,0,True,True,True,False,False,public,0,0,0,False,Service Provider
45,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.OnRefreshListener.java,OnRefreshListener,24,0,0,0,0,False,False,3,True,False,0,0,1,0,True,True,True,False,False,public,0,0,0,False,Service Provider
46,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.OnRefreshListener2.java,OnRefreshListener2,30,0,0,0,0,False,False,3,False,False,0,0,1,0,True,True,True,False,False,public,0,0,0,False,Service Provider
47,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.OnSmoothScrollFinishedListener.java,OnSmoothScrollFinishedListener,19,0,0,0,0,False,False,5,True,False,0,0,0,0,True,True,True,False,False,default,0,0,0,False,Service Provider
48,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.Orientation.java,Orientation,19,2,0,0,0,False,False,1,False,False,0,0,0,0,True,False,True,False,True,public,0,0,0,False,Information Holder
49,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.SmoothScrollRunnable.java,SmoothScrollRunnable,69,8,2,0,0,False,False,3,False,False,3,0,2,3,False,False,True,True,False,default,2,0,0,False,Information Holder
50,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.State.java,State,69,7,2,0,1,False,False,1,False,False,1,1,0,2,True,False,True,False,True,public,0,0,0,False,Information Holder
51,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshExpandableListView.InternalExpandableListView.java,InternalExpandableListView,34,0,2,2,0,False,False,4,False,False,0,2,5,0,False,False,True,True,False,default,2,0,0,False,Service Provider
52,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshExpandableListView.InternalExpandableListViewSDK9.java,InternalExpandableListViewSDK9,35,0,1,0,0,False,False,7,False,False,0,9,3,0,False,False,True,True,False,default,0,0,1,False,Service Provider
53,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshExpandableListView.java,PullToRefreshExpandableListView,51,0,2,0,1,False,False,6,False,False,1,2,5,0,False,False,False,True,False,public,1,0,1,False,Service Provider
54,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshGridView.InternalGridView.java,InternalGridView,34,0,2,2,0,False,False,3,False,False,0,2,5,0,False,False,True,True,False,default,2,0,0,False,Service Provider
55,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshGridView.InternalGridViewSDK9.java,InternalGridViewSDK9,34,0,1,0,0,False,False,6,False,False,0,9,3,0,False,False,True,True,False,default,0,0,1,False,Service Provider
56,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshGridView.java,PullToRefreshGridView,51,0,2,0,1,False,False,5,False,False,1,2,5,0,False,False,False,True,False,public,1,0,1,False,Service Provider
57,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshHorizontalScrollView.InternalHorizontalScrollViewSDK9.java,InternalHorizontalScrollViewSDK9,48,0,2,0,1,False,False,7,False,False,1,9,5,1,False,False,True,True,False,default,0,1,1,False,Service Provider
58,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshHorizontalScrollView.java,PullToRefreshHorizontalScrollView,63,0,4,0,1,False,False,6,False,False,2,2,6,2,False,False,False,True,False,public,1,0,3,False,Service Provider
59,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshBase.java,PullToRefreshBase,1097,34,79,25,17,False,False,4,False,False,83,70,21,60,False,False,False,True,False,public,41,9,28,True,Structurer
60,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshListView.InternalListView.java,InternalListView,74,1,5,3,0,False,False,3,False,False,1,5,8,2,False,False,True,True,False,protected,4,0,1,False,Coordinator
61,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshListView.InternalListViewSDK9.java,InternalListViewSDK9,34,0,1,0,0,False,False,6,False,False,0,9,3,0,False,False,True,True,False,default,0,0,1,False,Service Provider
62,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshScrollView.InternalScrollViewSDK9.java,InternalScrollViewSDK9,48,0,2,0,1,False,False,6,False,False,1,9,5,1,False,False,True,True,False,default,0,1,1,False,Service Provider
63,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshListView.java,PullToRefreshListView,208,4,7,0,1,False,False,5,False,False,13,8,11,15,False,False,False,True,False,public,1,0,6,False,Service Provider
64,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshScrollView.java,PullToRefreshScrollView,63,0,4,0,1,False,False,5,False,False,2,2,6,2,False,False,False,True,False,public,1,0,3,False,Service Provider
65,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshWebView.InternalWebViewSDK9.java,InternalWebViewSDK9,47,2,2,0,1,False,False,6,False,False,0,9,5,1,False,False,True,True,False,default,0,1,1,False,Coordinator
66,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\internal\EmptyViewMethodAccessor.java,EmptyViewMethodAccessor,38,0,0,0,0,False,False,4,True,False,0,0,1,3,False,True,False,False,False,public,0,0,0,False,Service Provider
67,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\PullToRefreshWebView.java,PullToRefreshWebView,106,2,6,0,1,False,False,5,False,False,2,4,8,4,False,False,False,True,False,public,1,0,5,False,Service Provider
68,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\internal\FlipLoadingLayout.java,FlipLoadingLayout,123,2,8,0,2,False,False,3,False,False,5,2,13,8,False,False,False,True,False,public,0,1,7,False,Interfacer
69,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\internal\IndicatorLayout.java,IndicatorLayout,120,4,8,0,0,False,False,2,False,False,3,3,16,3,False,False,False,True,False,public,8,0,0,False,Interfacer
70,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\internal\RotateLoadingLayout.java,RotateLoadingLayout,89,5,8,0,1,False,False,3,False,False,3,2,10,4,False,False,False,True,False,public,1,1,6,False,Interfacer
71,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\internal\Utils.java,Utils,8,1,1,0,0,False,False,1,False,False,0,2,1,0,False,False,False,True,False,public,1,0,0,False,Service Provider
72,\plugins\Android-PullToRefresh\library\src\com\handmark\pulltorefresh\library\internal\ViewCompat.SDK11.java,SDK11,24,0,1,1,0,False,False,3,False,False,0,2,2,0,True,False,True,True,False,default,1,0,0,False,Service Provider
