Class,2011-01-02,2011-04-02,2011-07-26,2011-10-19,2012-01-05,2012-04-01,2012-06-28,2012-10-02,2013-01-03,2013-04-01,2013-07-01,2013-10-02,2014-01-05,2014-04-01,2014-07-01,2014-10-06,2015-01-04,2015-04-01,2015-07-01,2015-10-03,2016-01-01,2016-04-01,2016-07-01,2016-10-01,2017-01-06,2017-04-05,2017-07-05,2017-10-24,2018-01-25,2018-04-03,2018-07-05,2018-10-01,2019-01-08,2019-04-04,2019-07-01,2019-11-28,2020-01-06
\SweetHome3D\src\com\eteks\sweethome3d\HomeFrameController.java,Controller,Controller,Class does not exist,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller
\SweetHome3D\src\com\eteks\sweethome3d\HomeFramePane.LanguageChangeListener.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist
\SweetHome3D\src\com\eteks\sweethome3d\HomeFramePane.java,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist
\SweetHome3D\src\com\eteks\sweethome3d\MacOSXConfiguration.MacOSXApplicationListener.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\MacOSXConfiguration.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer
\SweetHome3D\src\com\eteks\sweethome3d\SweetHome3D.FileContentManagerWithRecordedLastDirectories.java,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Class does not exist,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer,Structurer
\SweetHome3D\src\com\eteks\sweethome3d\SweetHome3D.StandaloneBasicService.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\SweetHome3D.StandaloneServiceManager.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\SweetHome3D.StandaloneSingleInstanceService.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider
\SweetHome3D\src\com\eteks\sweethome3d\SweetHome3D.java,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer,Interfacer
\SweetHome3D\src\com\eteks\sweethome3d\SweetHome3DBootstrap.java,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Service Provider,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller,Controller
